Purdue University	LGBTQ and ally student-led conference to bring Judy Shepard, speakers, entertainers to Purdue	The Crossroad Coalition, a Purdue University student organization, is hosting the Midwest Bisexual, Lesbian, Gay, Transgender, Ally College Conference 2016: Introspection at the Crossroads on Feb. 19-21.	Wed, 13 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/lgbtq-and-ally-student-led-conference-to-bring-judy-shepard,-speakers,-entertainers-to-purdue.html	
Purdue University	Books and Coffee talks explore new, popular literary works	Purdue University professors will discuss four contemporary books during the Books and Coffee series. The discussions are sponsored by the Department of English and Purdue Student Union Board.	Tue, 12 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/books-and-coffee-talks-explore-new,-popular-literary-works.html	
Purdue University	Winter webinars cover ag production, marketing topics	Purdue Extension is offering a series of weekly webinars in coming months to provide beginning farmers and operators of small farms with practical information on a range of agricultural production and agribusiness topics.	Wed, 13 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/winter-webinars-cover-ag-production,-marketing-topics.html	
Purdue University	Panic! At The Disco to perform April 14 at Purdue	Panic! At The Disco will perform at 7:30 p.m. April 14 at Purdue University's Elliott Hall of Music. This performance is presented by the Purdue Student Concert Committee with support from the Student Fee Advisory Board.	Fri, 15 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/panic-at-the-disco-to-perform-april-14-at-purdue.html	
Purdue University	Business leaders visit Purdue for Krannert Executive Forum	Leading business executives and entrepreneurs will visit Purdue University over the next four months for the Krannert School of Management Executive Forum. It features top-level executives and community leaders sharing their experiences.	Tue, 19 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/business-leaders-visit-purdue-for-krannert-executive-forum.html	
Purdue University	Purdue events planned to celebrate Martin Luther King Jr.	Several activities at Purdue University this month will celebrate the life and legacy of Dr. Martin Luther King Jr.	Tue, 12 Jan 2016 10:12:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/purdue-events-planned-to-celebrate-martin-luther-king-jr..html	
Purdue University	State conference on STEM education comes to Purdue campus	The latest work in STEM education and research is the focus of a state conference at Purdue University.	Mon, 11 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/state-conference-on-stem-education-comes-to-purdue-campus.html	
Purdue University	Award-winning accordionist to participate in Chinese New Year Celebrations at Purdue	Tian Jianan will bring the bayan, a chromatic button-keyboard accordion, to the Purdue Memorial Union South Ballroom at 8 p.m. Jan. 30 to celebrate the Chinese New Year.	Fri, 08 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/award-winning-accordionist-to-participate-in-chinese-new-year-celebrations-at-purdue.html	
Purdue University	Marketing workshop aims to help farmers build sales	Purdue Extension and the North Central Sustainable Agriculture Research and Education program are offering Marketing for Success, a daylong workshop to help farmers build their businesses through direct marketing.	Thu, 07 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/marketing-workshop-aims-to-help-farmers-build-sales.html	
Purdue University	Academy to focus on management in seed industry	Leadership techniques for the long-term success of seed companies will be at the forefront when the American Seed Trade Association Management Academy begins March 7 in West Lafayette.	Thu, 07 Jan 2016 00:00:00 EST	Uncategorized	http://www.purdue.edu/newsroom/releases/2016/Q1/academy-to-focus-on-management-in-seed-industry.html	
