Rice Univerbsity	Michael P. Hammond Preparatory Program	Shepherd School of Music<br>Saturday, January 23, 2016<br>1:30 PM to 3:30 PM<br><br><br>Duncan Recital Hall Alice Pratt Brown Hall<br>Rice University<br>6100 Main St<br>Houston,Texas,USA<br><br><br>Michael P. Hammond Preparatory Program<br>
Recital of Pre-college students.<br>
1:30 p.m., Duncan Recital Hall<br>	Sat, 23 Jan 2016 13:30 CST	Music	http://events.rice.edu/index.cfm?EventRecord=27407	
Rice Univerbsity	Senior Recital	Shepherd School of Music<br><br>Artist:  Rhea Chung<br>Saturday, January 23, 2016<br>5:30 PM to 7:00 PM<br><br><br>Duncan Recital Hall Alice Pratt Brown Hall<br>Rice University<br>6100 Main St<br>Houston,Texas,USA<br><br><br>Senior Recital<br>
Rhea Chung, violin<br>
5:30 p.m., Duncan Recital Hall<br>	Sat, 23 Jan 2016 17:30 CST	Music	http://events.rice.edu/index.cfm?EventRecord=27408	
Rice Univerbsity	Rice Cinema to present GASLIGHT (1944)	Visual and Dramatic Arts<br>Rice Cinema<br>Dean of Humanities<br>Saturday, January 23, 2016<br>7:00 PM to 9:00 PM<br><br><br>100 - Auditorium Rice Media Center<br>Rice University<br>6100 Main St<br>Houston,Texas,USA<br><br><br>The spring 2016 Murfee Worsham screening series to host the 1944 classic film, GASLIGHT, directed by George Cukor and starring Ingrid Bergman and Charles Boyer. Plot summary: Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane. This event is free and open to the public.<br>	Sat, 23 Jan 2016 19:00 CST	Cinema	http://events.rice.edu/index.cfm?EventRecord=27603	
Rice Univerbsity	Master’s Recital	Shepherd School of Music<br><br>Artist:  Seulki Lee<br>Saturday, January 23, 2016<br>8:00 PM to 9:30 PM<br><br><br>Duncan Recital Hall Alice Pratt Brown Hall<br>Rice University<br>6100 Main St<br>Houston,Texas,USA<br><br><br>Master’s Recital<br>
Seulki Lee, cello<br>
8:00 p.m., Duncan Recital Hall<br>	Sat, 23 Jan 2016 20:00 CST	Music	http://events.rice.edu/index.cfm?EventRecord=27409	
