DePaul Univerbsity	Jan 23, 2016: Curating Your Teaching Portfolio: Selection and Reflection (Online) at Online	<p>You’ve taught courses, you’ve attended workshops, you’ve written (or thought about) your teaching philosophy, and you’ve fortified your CV, but your online teaching portfolio is still missing something important: teaching material. An e-portfolio can help define your professional identity online, but it can be challenging to select and arrange the stuff of a career to present a thoughtful and coherent whole. What do you need to include? What can you afford to leave out? How much explanation does it all require? Online attention spans are notoriously short, so an effective teaching portfolio provides carefully-selected artifacts of your teaching practice that complement the rest of your portfolio documents and invite visitors to learn about your work.
<br />This workshop offers you the opportunity to curate your teaching portfolio while exchanging feedback with other faculty members. Drawing on both teaching portfolio guides and the evolving pedagogy that helps students create effective portfolios at DePaul and many other universities, this workshop will guide you through the processes of selection and reflection to create a holistic picture of you as a teacher. After a review of some best practices, we’ll discuss how to align the various audiences and purposes your portfolio is intended for and the teaching material you have to work with. We’ll examine sample portfolios, go through a structured analysis of our own portfolio material, and work together to plan the next iteration of our online professional identities.
<br />By the end of this workshop, participants will be able to:</p>

<p>Identify appropriate and engaging artifacts that reflect their teaching practice.
<br />Plan a revision of their teaching portfolios that integrate their artifacts into a coherent whole, supporting the claims of reflections and the teaching philosophy.
<br />Introduce teaching artifacts with reflective comments that take multiple audiences into account.</p>

<p>Format: This workshop is fully online and asynchronous, meaning that there are no face-to-face meetings. Participants must have reliable access to the Internet during the week of January 19-24, and should count on committing to approximately three hours in total to the workshop activities. After the end date, you will retain access to the materials and activities on the workshop's D2L site. Enrollment for this workshop is capped at 25 individuals.
<br />Who should participate?: In order to get the most out of the workshop activities, participants should already have drafted (or thought about) their teaching philosophy, and should have sample teaching materials on hand that they might choose to include in a teaching portfolio. This workshop will be useful to individuals considering making a digital teaching portfolio, those who are already in the process of creating their portfolio, as well as those who would like to revise or update an existing portfolio.
<br />This workshop will be facilitated by Mike Hernandez from the Writing, Rhetoric, and Discourse Department.</p>

<p><a href="http://events.depaul.edu/event/curating_your_teaching_portfolio_selection_and_revision_online">View on site</a> | <a href="mailto:?subject=I%20found%20an%20interesting%20event:%20Curating%20Your%20Teaching%20Portfolio:%20Selection%20and%20Reflection%20(Online)&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Jan%2023,%202016%0A%0ADescription:%0AYou%E2%80%99ve%20taught%20courses,%20you%E2%80%99ve%20attended%20workshops,%20you%E2%80%99ve%20written%20(or%20thought%20about)%20your%20teaching%20philosophy,%20and%20you%E2%80%99ve%20fortified%20your%20CV,%20but%20your%20online%20teaching%20portfolio%20is%20still%20missing%20something%20important:%20teaching%20material.%20An%20e-portfolio%20can%20help%20define%20your%20professional%20identity%20online,%20but%20it%20can%20be%20challenging%20to%20select%20and%20arrange%20the%20stuff%20of%20a%20career%20to%20present%20a%20thoughtful%20and%20coherent%20whole.%20What%20do%20you%20need%20to%20include?%20What%20can%20you%20afford%20to%20leave%20out?%20How%20much%20explanation%20does%20it%20all%20require?%20Online%20attention%20spans%20are%20notoriously%20short,%20so%20an%20effective%20teaching%20portfolio%20provides%20carefully-selected%20artifacts%20of%20your%20teaching%20practice%20that%20complement%20the%20rest%20of%20your%20portfolio%20documents%20and%20invite%20visitors%20to%20learn%20about%20your%20work.%0AThis%20workshop%20offers%20you%20the%20opportunity%20to%20curate%20your%20teaching%20portfolio%20while%20exchanging%20feedback%20with%20other%20faculty%20members.%20Drawing%20on%20both%20teaching%20portfolio%20guides%20and%20the%20evolving%20pedagogy%20that%20helps%20students%20create%20effective%20portfolios%20at%20DePaul%20and%20many%20other%20universities,%20this%20workshop%20will%20guide%20you%20through%20the%20processes%20of%20selection%20and%20reflection%20to%20create%20a%20holistic%20picture%20of%20you%20as%20a%20teacher.%20After%20a%20review%20of%20some%20best%20practices,%20we%E2%80%99ll%20discuss%20how%20to%20align%20the%20various%20audiences%20and%20purposes%20your%20portfolio%20is%20intended%20for%20and%20the%20teaching%20material%20you%20have%20to%20work%20with.%20We%E2%80%99ll%20examine%20sample%20portfolios,%20go%20through%20a%20structured%20analysis%20of%20our%20own%20portfolio%20material,%20and%20work%20together%20to%20plan%20the%20next%20iteration%20of%20our%20online%20professional%20identities.%0ABy%20the%20end%20of%20this%20workshop,%20participants%20will%20be%20able%20to:%0A%0AIdentify%20appropriate%20and%20engaging%20artifacts%20that%20reflect%20their%20teaching%20practice.%0APlan%20a%20revision%20of%20their%20teaching%20portfolios%20that%20integrate%20their%20artifacts%20into%20a%20coherent%20whole,%20supporting%20the%20claims%20of%20reflections%20and%20the%20teaching%20philosophy.%0AIntroduce%20teaching%20artifacts%20with%20reflective%20comments%20that%20take%20multiple%20audiences%20into%20account.%0A%0AFormat:%20This%20workshop%20is%20fully%20online%20and%20asynchronous,%20meaning%20that%20there%20are%20no%20face-to-face%20meetings.%20Participants%20must%20have%20reliable%20access%20to%20the%20Internet%20during%20the%20week%20of%20January%2019-24,%20and%20should%20count%20on%20committing%20to%20approximately%20three%20hours%20in%20total%20to%20the%20workshop%20activities.%20After%20the%20end%20date,%20you%20will%20retain%20access%20to%20the%20materials%20and%20activities%20on%20the%20workshop's%20D2L%20site.%20Enrollment%20for%20this%20workshop%20is%20capped%20at%2025%20individuals.%0AWho%20should%20participate?:%20In%20order%20to%20get%20the%20most%20out%20of%20the%20workshop%20activities,%20participants%20should%20already%20have%20drafted%20(or%20thought%20about)%20their%20teaching%20philosophy,%20and%20should%20have%20sample%20teaching%20materials%20on%20hand%20that%20they%20might%20choose%20to%20include%20in%20a%20teaching%20portfolio.%20This%20workshop%20will%20be%20useful%20to%20individuals%20considering%20making%20a%20digital%20teaching%20portfolio,%20those%20who%20are%20already%20in%20the%20process%20of%20creating%20their%20portfolio,%20as%20well%20as%20those%20who%20would%20like%20to%20revise%20or%20update%20an%20existing%20portfolio.%0AThis%20workshop%20will%20be%20facilitated%20by%20Mike%20Hernandez%20from%20the%20Writing,%20Rhetoric,%20and%20Discourse%20Department.%0A%0Ahttp://events.depaul.edu/event/curating_your_teaching_portfolio_selection_and_revision_online%0A">Email this event</a></a></p>	Sat, 23 Jan 2016 08:00:00 -0600	Uncategorized	http://events.depaul.edu/event/curating_your_teaching_portfolio_selection_and_revision_online	
DePaul Univerbsity	Jan 23, 2016: Weekly Service at LPC Student Center Room 104/ Ozanam Village/Matthew Manor 251 N. Albany	<p>Join us for our weekly trip to Ozanam Village/Matthew Manor on Saturday morning at 9:30am. We will meet outside of the Catholic Campus Ministries(CCM) office [Room 104] on the first floor of the LPC Student Center.</p>

<p><a href="http://events.depaul.edu/event/weekly_service_2315">View on site</a> | <a href="mailto:?subject=I%20found%20an%20interesting%20event:%20Weekly%20Service&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Jan%2023,%202016%0A%0ADescription:%0AJoin%20us%20for%20our%20weekly%20trip%20to%20Ozanam%20Village/Matthew%20Manor%20on%20Saturday%20morning%20at%209:30am.%20We%20will%20meet%20outside%20of%20the%20Catholic%20Campus%20Ministries(CCM)%20office%20[Room%20104]%20on%20the%20first%20floor%20of%20the%20LPC%20Student%20Center.%0A%0Ahttp://events.depaul.edu/event/weekly_service_2315%0A">Email this event</a></a></p>	Sat, 23 Jan 2016 09:30:00 -0600	Uncategorized	http://events.depaul.edu/event/weekly_service_2315	
DePaul Univerbsity	Jan 23, 2016: Naperville School District 203 Open House Event at Lincoln Park Student Center, #314a, Chicago, IL 60614, USA	<p>Learn about the mission of the Naperville Community Unit School District through an overview presentation and participation in round table discussions with staff, administrators, and teachers from the district. Learn about expectations of new teachers, the culture of the district, and highlights of District 203 schools. If you are actively pursuing a career in teaching, this is a great way to meet professions and learn about a suburban district. Join us to make connections and get your questions answered!</p>

<p>Note: This workshop is open to College of Education current students and alumni</p>

